Geneid	SD1	SD2	SD3	TG1	TG3
ZN651G0590	50	81	63	61	64
ZN651G0591	640	387	383	452	625
ZN651G0592	4244	2442	2642	1694	1544
ZN651G0593	6	11	25	0	1
ZN651G0594	1134	1790	1492	3194	3568
ZN651G0595	4590	3452	3891	360	11620
ZN651G0596	1781	1157	1291	680	1233
ZN651G0597	418	245	483	68	70
ZN651G0598	643	405	510	9	45
ZN651G0599	1	0	0	0	0
ZN651G0600	419	85	99	10	13
ZN651G0601	1507	1985	1693	668	279
ZN651G0602	1	30	19	0	0
ZN651G0603	5	3	3	3	0
ZN651G0604	6	11	7	7	0
ZN651G0605	958	801	796	1077	3416
ZN651G0606	21277	32649	41618	22169	76875
ZN651G0607	34	26	27	60	181
ZN651G0608	0	0	0	0	0
ZN651G0609	0	0	0	0	0
ZN651G0610	1735	2383	1859	1246	1573
ZN651G0611	358	495	562	716	247
ZN651G0612	120	1	68	0	1
ZN651G0613	26	24	17	31	30
ZN651G0614	1410	806	637	774	349
ZN651G0615	5	2	4	1	3
ZN651G0616	903	580	1074	517	664
ZN651G0617	469	602	364	483	56
ZN651G0618	11622	3684	3922	6058	6634
ZN651G0619	0	0	0	0	0
ZN651G0620	0	1	0	1	2
ZN651G0621	0	0	0	0	0
ZN651G0622	0	0	0	0	0
ZN651G0623	1	1	2	0	2
ZN651G0624	0	0	0	0	0
ZN651G0625	217	132	166	544	514
ZN651G0626	1657	1574	1843	3526	977
ZN651G0627	555	1243	1234	252	1591
ZN651G0628	137	120	217	37	34
ZN651G0629	0	3	5	0	1
ZN651G0630	0	0	0	0	0
ZN651G0631	44	63	64	87	16
ZN651G0632	1424	993	1051	1162	1962
ZN651G0633	4360	10412	7608	2944	427
ZN651G0634	297	471	571	270	259
ZN651G0635	1255	1259	1228	1057	1741
ZN651G0636	0	0	0	0	0
ZN651G0637	5410	3728	4812	2717	2742
ZN651G0638	0	4	17	1	5
ZN651G0639	442	347	440	159	173
ZN651G0640	1439	2530	4755	167	59
ZN651G0641	0	0	0	0	0
ZN651G0642	0	0	0	0	0
ZN651G0643	799	530	508	886	817
ZN651G0644	9	3	9	5	2
ZN651G0645	32	20	37	2	1
ZN651G0646	80	118	104	50	80
ZN651G0647	0	0	0	0	0
ZN651G0648	8	15	6	0	10
ZN651G0649	0	0	0	0	0
ZN651G0650	0	4	1	0	1
ZN651G0651	0	0	0	0	3
ZN651G0652	108	101	79	112	49
ZN651G0653	174	346	275	374	341
ZN651G0654	284	331	234	311	417
ZN651G0655	3246	2331	3194	983	3504
ZN651G0656	84	98	154	7	9
ZN651G0657	3277	1726	1372	335	3038
ZN651G0658	1	1	0	0	1
ZN651G0659	205	100	116	310	774
ZN651G0660	195	184	277	102	140
ZN651G0661	12	52	57	6	4
ZN651G0662	200	76	273	27	74
ZN651G0663	1	60	51	3	4
ZN651G0664	810	658	528	821	921
ZN651G0665	6	0	2	0	0
ZN651G0666	823	78	49	5	6
ZN651G0667	1	0	0	0	0
ZN651G0668	146	113	135	106	243
ZN651G0669	59	100	88	54	239
ZN651G0670	96	277	153	143	104
ZN651G0671	551	864	753	666	457
ZN651G0672	0	0	0	0	0
ZN651G0673	0	0	0	0	0
ZN651G0674	0	0	0	0	0
ZN651G0675	99	143	70	28	16
ZN651G0676	966	573	844	285	92
ZN651G0677	10	9	8	5	14
ZN651G0678	119	237	300	190	56
ZN651G0679	38	17	1	3	3
ZN651G0680	22	71	38	65	44
ZN651G0681	18	19	19	12	6
ZN651G0682	1971	2167	1823	3127	2457
ZN651G0683	6	9	11	7	7
ZN651G0684	0	0	0	0	0
ZN651G0685	3038	1386	639	3300	3525
ZN651G0686	635	289	348	1564	813
ZN651G0687	1	8	5	22	2
ZN651G0688	1	1	3	0	0
ZN651G0689	30	12	1	18	32
ZN651G0690	1	1	0	3	3
ZN651G0691	506	908	766	952	438
ZN651G0692	360	462	428	582	776
ZN651G0693	16	24	13	35	7
ZN651G0694	97	146	127	231	52
ZN651G0695	10	38	18	129	233
ZN651G0696	85	90	72	88	43
ZN651G0697	279	218	195	260	179
ZN651G0698	0	0	0	0	0
ZN651G0699	0	0	0	0	0
ZN651G0700	35997	10978	28784	383788	59410
ZN651G0701	0	0	0	0	0
ZN651G0702	672	861	740	670	224
ZN651G0703	1057	911	721	148	277
ZN651G0704	118	406	254	4460	699
ZN651G0705	0	0	0	0	0
ZN651G0706	5	10	17	5	3
ZN651G0707	0	0	0	0	0
ZN651G0708	0	0	0	0	0
ZN651G0709	0	0	0	0	0
ZN651G0710	4	3	2	15	20
ZN651G0711	0	0	1	0	10
ZN651G0712	5	3	5	6	5
ZN651G0713	758	952	1072	464	618
ZN651G0714	406	1014	385	250	519
ZN651G0715	0	0	0	0	0
ZN651G0716	0	0	0	0	0
ZN651G0717	1345	1570	1627	550	1811
ZN651G0718	2	0	7	8	87
ZN651G0719	5	8	9	27	7
ZN651G0720	1180	610	672	725	1341
ZN651G0721	5	4	4	5	16
ZN651G0722	77	103	79	167	38
ZN651G0723	401	91	94	47	215
ZN651G0724	0	0	0	0	0
ZN651G0725	1	0	1	0	0
ZN651G0726	140	105	69	136	75
ZN651G0727	293	185	165	654	591
ZN651G0728	50	93	112	181	112
ZN651G0729	1	0	0	7	2
ZN651G0730	1	0	0	2	2
ZN651G0731	0	0	0	0	0
ZN651G0732	0	0	0	0	0
ZN651G0733	50	115	84	171	10
ZN651G0734	35	112	46	128	204
ZN651G0735	188	208	210	438	309
ZN651G0736	0	1	0	0	0
ZN651G0737	0	0	0	0	1
ZN651G0738	276	353	352	270	179
ZN651G0739	62	130	68	44	181
ZN651G0740	42	165	162	148	0
ZN651G0741	741	618	516	1003	1598
ZN651G0742	198	88	82	73	87
ZN651G0743	669	815	1190	576	770
ZN651G0744	0	0	1	0	0
ZN651G0745	128	105	175	168	49
